ID,MASQUE,LIB,Correspondance,INTERPRETE,AUTEUR,AUTEUR_TEXTE,AUTEUR_MUSIQUE,XML_FIELD_ID,XML_FIELD_ID_DNC,CU,DNC,LIB_ALT,CU_ALT,M29 Editing,F25 Plan d'exécution,F29 Recording Event,F28 Nouvelle expression,M9 Derivation Type,Commentaires
238,0,Directeur du son,ingénieur du son,0,,0,0,10127,10127,66,,,,,,1,,,
241,0,Sonorisation,sonorisateur,1,,0,0,10128,10128,70,,,,,,1,,,"OK interprète ET recording (s'il est dans OMU => M28, s'il est dans ITEM => F29)"
101,0,Ecrivain,auteur du texte,0,1,1,0,1507,1507,48,,,,,,,,,
121,0,Mixage,mixage,0,,0,0,10128,10128,68,,,,,,1,,,
141,0,Attaché de production,attaché de production (radio),0,,0,0,,,23,,,,,,,,,
162,0,Scénographe,scénographe,0,1,0,0,1507,1507,75,,,,,,,1,,"oeuvre de type ""scénographie"" (en attente référentiel des oeuvres)"
163,0,Auteur d'argument,auteur de l'argument,0,1,1,0,1507,1507,76,,,,,,,,,
181,0,Scat,,1,,0,0,1506,1506,77,,,,,,,,,MOP chant@fre (iaml) + M57 Vocal Technique (en attente référentiel des techniques vocales)
248,0,Chant diphonique,,1,,0,0,1506,1506,78,,,,,,,,,MOP chant @fre (iaml) et M57 Vocal Technique (en attente référentiel des techniques vocales)
261,0,Cadence ,compositeur de la cadence,0,1,0,1,1507,1507,79,,,,,,,,,
281,0,Editeur,éditeur,0,,0,0,10858,10858,49,1,,,,,,,,
161,0,Costumier,costumier,0,1,0,0,1507,1507,74,,,,,,,1,,"oeuvre de type ""costume de scène"" (en attente référentiel des oeuvres)"
1001,0,Acteur,acteur,1,,0,0,10852,10852,1001,1,,,,,,,,
1002,0,Arrangeur,arrangeur,0,1,0,1,10560,10853,40,1,,,,,,,Arrangement,
1003,0,Remixeur,remixeur,,,0,0,10857,10857,1003,1,,,,,,,,
1004,0,Disc Jockey,disc jockey,,,0,0,10855,10855,1004,1,,,,,,,,
1005,0,Photographe,photographe,0,,0,0,10854,10854,1005,1,,,,,,,,
